조사기준일,학제,학교명,"KEDI
학교코드",학교상태,본분교,시도,설립,학위구분,졸업자_계,졸업자_남,졸업자_여,취업률_계,취업률_남,취업률_여,취업자_합계_계,취업자_합계_남,취업자_합계_여,취업자_교외취업자_계,취업자_교외취업자_남,취업자_교외취업자_여,취업자_교내취업자_계,취업자_교내취업자_남,취업자_교내취업자_여,취업자_해외취업자_계,취업자_해외취업자_남,취업자_해외취업자_여,취업자_농림어업종사자_계,취업자_농림어업종사자_남,취업자_농림어업종사자_여,취업자_개인창작활동종사자_계,취업자_개인창작활동종사자_남,취업자_개인창작활동종사자_여,취업자_1인창(사)업자_계,취업자_1인창(사)업자_남,취업자_1인창(사)업자_여,취업자_프리랜서_계,취업자_프리랜서_남,취업자_프리랜서_여,진학률_계,진학률_남,진학률_여,진학자_계,진학자_남,진학자_여,입대자,취업불가능자_계,취업불가능자_남,취업불가능자_여,외국인유학생_계,외국인유학생_남,외국인유학생_여,제외인정자_계,제외인정자_남,제외인정자_여,기타_계,기타_남,기타_여,미상_계,미상_남,미상_여,1차 유지취업자_계,1차 유지취업자_남,1차 유지취업자_여,1차 유지취업률_계,1차 유지취업률_남,1차 유지취업률_여,2차 유지취업자_계,2차 유지취업자_남,2차 유지취업자_여,2차 유지취업률_계,2차 유지취업률_남,2차 유지취업률_여,3차 유지취업자_계,3차 유지취업자_남,3차 유지취업자_여,3차 유지취업률_계,3차 유지취업률_남,3차 유지취업률_여,4차 유지취업자_계,4차 유지취업자_남,4차 유지취업자_여,4차 유지취업률_계,4차 유지취업률_남,4차 유지취업률_여,입학당시 기취업자_계,입학당시 기취업자_남,입학당시 기취업자_여
2023.12.31,전문대학,경남도립거창대학,72002000,기존,본교,경남,공립,,322,198,124,73.6,72.2,75.7,198,114,84,183,106,77,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,8,3,5,7.8,7.1,8.9,25,14,11,25,0,0,0,0,0,0,3,1,2,71,44,27,0,0,0,163,98,65,89.1,92.5,84.4,156,93,63,85.2,87.7,81.8,144,84,60,78.7,79.2,77.9,140,80,60,76.5,75.5,77.9,49,30,19
2023.12.31,전문대학,경남도립남해대학,72003000,기존,본교,경남,공립,,370,268,102,72.5,74.6,67.7,232,167,65,213,158,55,3,1,2,1,1,0,10,4,6,0,0,0,4,2,2,1,1,0,5.9,6.7,3.9,22,18,4,24,0,0,0,0,0,0,4,2,2,88,57,31,0,0,0,189,138,51,87.5,86.8,89.5,177,129,48,81.9,81.1,84.2,160,116,44,74.1,73.0,77.2,156,113,43,72.2,71.1,75.4,69,50,19
2023.12.31,전문대학,경남정보대학교,73005000,기존,본교,부산,사립,,2380,1319,1061,73.6,73.6,73.5,1524,833,691,1383,774,609,18,4,14,3,2,1,0,0,0,2,0,2,42,10,32,76,43,33,7.9,6.7,9.3,188,89,99,83,0,0,0,9,5,4,28,10,18,548,299,249,0,0,0,1257,697,560,89.7,89.6,89.9,1184,654,530,84.5,84.1,85.1,1075,594,481,76.7,76.3,77.2,1037,572,465,74.0,73.5,74.6,278,165,113
2023.12.31,전문대학,경민대학교,73007000,기존,본교,경기,사립,,1518,776,742,70.0,72.4,67.7,855,426,429,715,352,363,18,6,12,0,0,0,0,0,0,8,6,2,9,7,2,105,55,50,13.0,12.8,13.3,198,99,99,74,1,1,0,2,2,0,21,12,9,329,143,186,38,19,19,660,333,327,90.0,93.0,87.2,612,307,305,83.5,85.8,81.3,557,279,278,76.0,77.9,74.1,537,271,266,73.3,75.7,70.9,140,87,53
2023.12.31,전문대학,경복대학교,73011000,기존,본교,경기,사립,,2109,561,1548,80.6,75.2,82.4,1481,354,1127,1316,314,1002,5,3,2,5,0,5,0,0,0,39,8,31,7,1,6,109,28,81,9.6,8.6,9.9,202,48,154,32,0,0,0,13,5,8,24,5,19,357,117,240,0,0,0,1208,284,924,91.4,89.6,92.0,1129,266,863,85.5,83.9,86.0,1059,248,811,80.2,78.2,80.8,1039,243,796,78.7,76.7,79.3,184,51,133
2023.12.31,전문대학,경북과학대학교,73046000,기존,본교,경북,사립,,715,365,350,75.1,73.6,75.8,320,95,225,267,82,185,5,3,2,0,0,0,5,1,4,1,0,1,19,4,15,23,5,18,3.1,1.9,4.3,22,7,15,13,2,1,1,245,213,32,7,2,5,106,34,72,0,0,0,251,83,168,92.3,97.6,89.8,238,79,159,87.5,92.9,85.0,227,76,151,83.5,89.4,80.7,221,73,148,81.3,85.9,79.1,115,42,73
2023.12.31,전문대학,경북도립대학교,72005000,기존,본교,경북,공립,,287,164,123,73.8,74.1,73.3,177,100,77,144,78,66,2,0,2,2,2,0,10,10,0,0,0,0,8,5,3,11,5,6,9.4,6.7,13.0,27,11,16,16,0,0,0,0,0,0,4,2,2,63,35,28,0,0,0,129,72,57,88.4,92.3,83.8,124,69,55,84.9,88.5,80.9,115,64,51,78.8,82.1,75.0,111,63,48,76.0,80.8,70.6,23,8,15
2023.12.31,전문대학,경북보건대학교,73028000,기존,본교,경북,사립,,336,75,261,79.5,75.0,80.7,260,51,209,243,45,198,1,1,0,0,0,0,1,0,1,0,0,0,4,1,3,11,4,7,0.6,1.3,0.4,2,1,1,3,0,0,0,0,0,0,4,3,1,67,17,50,0,0,0,222,40,182,91.0,87.0,91.9,214,39,175,87.7,84.8,88.4,205,39,166,84.0,84.8,83.8,202,38,164,82.8,82.6,82.8,30,5,25
2023.12.31,전문대학,경북전문대학교,73010000,기존,본교,경북,사립,,1029,481,548,81.5,80.9,81.9,716,296,420,663,273,390,2,1,1,3,2,1,17,5,12,0,0,0,17,7,10,14,8,6,9.0,13.9,4.7,93,67,26,42,1,0,1,0,0,0,14,6,8,147,61,86,16,9,7,621,262,359,93.4,95.6,91.8,590,246,344,88.7,89.8,88.0,553,223,330,83.2,81.4,84.4,535,212,323,80.5,77.4,82.6,130,43,87
2023.12.31,전문대학,경인여자대학교,73013000,기존,본교,인천,사립,,1752,0,1752,68.7,0.0,68.7,1003,0,1003,860,0,860,7,0,7,3,0,3,0,0,0,14,0,14,10,0,10,109,0,109,10.6,0.0,10.6,186,0,186,0,0,0,0,76,0,76,29,0,29,458,0,458,0,0,0,765,0,765,88.2,0.0,88.2,718,0,718,82.8,0.0,82.8,660,0,660,76.1,0.0,76.1,637,0,637,73.5,0.0,73.5,153,0,153
